"","LL_GSPover100_by_GST","LL_GSPover100_plus_GST","LL_GST","LL_GSPover100","LW_GSPover100_by_GST","LW_GSPover100_plus_GST","LW_GST","LW_GSPover100","LA_GSPover100_by_GST","LA_GSPover100_plus_GST","LA_GST","LA_GSPover100"
"PGLS.se.GSPover100:GST",0.199223972039463,NA,NA,NA,0.206089344236211,NA,NA,NA,0.34560847005137,NA,NA,NA
"PGLS.t.GSPover100:GST",2.82105819602732,NA,NA,NA,3.95033169179316,NA,NA,NA,3.96973064213377,NA,NA,NA
"PGLS.t.P.GSPover100:GST",0.00484154524419462,NA,NA,NA,8.11976302685522e-05,NA,NA,NA,7.49177630550458e-05,NA,NA,NA
"PGLS.F.(Intercept)",39.727140960286,40.0084078710543,39.2265972150798,40.0482209209214,0.252888716357838,0.250773486062021,0.24843757286543,0.249600546522717,15.8519961690198,15.8579619102198,15.3388955450485,15.7717760023464
"PGLS.F.P.(Intercept)",3.70273848541143e-10,3.21619680410377e-10,4.75583334217492e-10,3.152336878892e-10,0.615112769468012,0.616595041337035,0.618241077806639,0.61742034913598,7.13477735985966e-05,7.11235841232672e-05,9.33571163233142e-05,7.44053499609933e-05
"PGLS.F.GSPover100",27.7808474973826,27.6814525349907,NA,27.6733785612918,23.4958156806853,23.2954272999094,NA,23.1237097762058,34.8675972145747,34.6174172269294,NA,34.4862209190472
"PGLS.F.P.GSPover100",1.5302607931534e-07,1.60951327261018e-07,NA,1.61602843994571e-07,1.36461316467889e-06,1.51223787182353e-06,NA,1.65143139949572e-06,4.24358171549433e-09,4.81271843147849e-09,NA,5.14090706386795e-09
"PGLS.F.GST",1.60766613160693,1.59649961767155,2.77579215611998,NA,10.7197120100151,10.628425780355,12.9535624333841,NA,7.09654999143904,7.04252570351407,9.49416716146986,NA
"PGLS.F.P.GST",0.204991889032183,0.206571202801259,0.0958812801860471,NA,0.00108105872664887,0.00113538483237999,0.000328352224422383,NA,0.00779541025973548,0.00803298823534384,0.00209392222373592,NA
"PGLS.F.GSPover100:GST",7.95836934537293,NA,NA,NA,15.6051204751854,NA,NA,NA,15.7587613710958,NA,NA,NA
"PGLS.F.P.GSPover100:GST",0.00484154524419462,NA,NA,NA,8.11976302685522e-05,NA,NA,NA,7.49177630550458e-05,NA,NA,NA
"PGLS.phy.resid.lambda",6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,0.000855958205693148,0.00106121270808893,0.00131179291296683,0.000689755155495131,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05
"PGLS.phy.resid.lambda.P",1,1,1,1,0.784676722420513,0.725805638350145,0.681582776968602,0.823050886827915,1,1,1,1
"PGLS.phy.resid.norm.P",2.65145795351194e-12,1.13238827286727e-11,4.35563402481554e-10,7.16652776177677e-12,2.3359015271654e-06,2.94414025134838e-06,5.19412637481164e-06,2.39355771616472e-06,0.000270765657992578,0.000829260957657126,0.00752426221598245,0.000513882695994806
